evaluation_context,model_name,window_label,prediction_artifact,aoi_alert_overlap_index,true_positive_windows,false_positive_windows,false_negative_windows,true_negative_windows,attack_window_count,predicted_alert_window_count,evaluated_window_count,alert_coverage,alert_precision,notes
canonical_benchmark_prediction_artifact,autoencoder,10s,outputs/window_size_study/10s/ready_packages/autoencoder/predictions.parquet,0.08452434122376061,757,8031,168,11,925,8788,8967,0.8183783783783783,0.08614019116977698,Canonical benchmark prediction artifact; AOI is an additional repo-specific metric only.
canonical_benchmark_prediction_artifact,gru,10s,outputs/window_size_study/10s/ready_packages/gru/predictions.parquet,0.09549428379287156,852,8036,34,3,886,8888,8925,0.9616252821670429,0.09585958595859587,Canonical benchmark prediction artifact; AOI is an additional repo-specific metric only.
canonical_benchmark_prediction_artifact,isolation_forest,10s,outputs/window_size_study/10s/ready_packages/isolation_forest/predictions.parquet,0.20082154267457783,880,3457,45,4585,925,4337,8967,0.9513513513513514,0.20290523403274152,Canonical benchmark prediction artifact; AOI is an additional repo-specific metric only.
canonical_benchmark_prediction_artifact,lstm,10s,outputs/window_size_study/10s/ready_packages/lstm/predictions.parquet,0.09358439508400045,830,8035,4,0,834,8865,8869,0.9952038369304557,0.09362662154540327,Canonical benchmark prediction artifact; AOI is an additional repo-specific metric only.
canonical_benchmark_prediction_artifact,threshold_baseline,10s,outputs/window_size_study/10s/ready_packages/threshold_baseline/predictions.parquet,0.5577942735949099,526,18,399,8024,925,544,8967,0.5686486486486486,0.9669117647058824,Canonical benchmark prediction artifact; AOI is an additional repo-specific metric only.
canonical_benchmark_prediction_artifact,transformer,10s,outputs/window_size_study/10s/ready_packages/transformer/predictions.parquet,0.09849843119677275,879,8038,7,1,886,8917,8925,0.9920993227990971,0.09857575417741393,Canonical benchmark prediction artifact; AOI is an additional repo-specific metric only.
canonical_benchmark_prediction_artifact,autoencoder,300s,outputs/window_size_study/300s/ready_packages/autoencoder/predictions.parquet,0.0967741935483871,30,274,6,8,36,304,318,0.8333333333333334,0.09868421052631579,Canonical benchmark prediction artifact; AOI is an additional repo-specific metric only.
canonical_benchmark_prediction_artifact,gru,300s,outputs/window_size_study/300s/ready_packages/gru/predictions.parquet,0.2,3,11,1,261,4,14,276,0.75,0.21428571428571427,Canonical benchmark prediction artifact; AOI is an additional repo-specific metric only.
canonical_benchmark_prediction_artifact,isolation_forest,300s,outputs/window_size_study/300s/ready_packages/isolation_forest/predictions.parquet,0.12075471698113208,32,229,4,53,36,261,318,0.8888888888888888,0.12260536398467432,Canonical benchmark prediction artifact; AOI is an additional repo-specific metric only.
canonical_benchmark_prediction_artifact,lstm,300s,outputs/window_size_study/300s/ready_packages/lstm/predictions.parquet,0.3333333333333333,4,8,0,264,4,12,276,1.0,0.3333333333333333,Canonical benchmark prediction artifact; AOI is an additional repo-specific metric only.
canonical_benchmark_prediction_artifact,threshold_baseline,300s,outputs/window_size_study/300s/ready_packages/threshold_baseline/predictions.parquet,0.2621359223300971,27,67,9,215,36,94,318,0.75,0.2872340425531915,Canonical benchmark prediction artifact; AOI is an additional repo-specific metric only.
canonical_benchmark_prediction_artifact,transformer,300s,outputs/window_size_study/300s/ready_packages/transformer/predictions.parquet,0.21428571428571427,3,10,1,262,4,13,276,0.75,0.23076923076923078,Canonical benchmark prediction artifact; AOI is an additional repo-specific metric only.
canonical_benchmark_prediction_artifact,autoencoder,5s,outputs/window_size_study/5s/ready_packages/autoencoder/predictions.parquet,0.08464632919879315,1515,16049,334,11,1849,17564,17909,0.8193618171984857,0.08625597813709861,Canonical benchmark prediction artifact; AOI is an additional repo-specific metric only.
canonical_benchmark_prediction_artifact,gru,5s,outputs/window_size_study/5s/ready_packages/gru/predictions.parquet,0.10126511419614868,1809,16054,1,3,1810,17863,17867,0.9994475138121547,0.10127078318311594,Canonical benchmark prediction artifact; AOI is an additional repo-specific metric only.
canonical_benchmark_prediction_artifact,isolation_forest,5s,outputs/window_size_study/5s/ready_packages/isolation_forest/predictions.parquet,0.12006556481355006,1758,12793,91,3267,1849,14551,17909,0.950784207679827,0.12081643873273315,Canonical benchmark prediction artifact; AOI is an additional repo-specific metric only.
canonical_benchmark_prediction_artifact,lstm,5s,outputs/window_size_study/5s/ready_packages/lstm/predictions.parquet,0.10103554436048139,1805,16055,5,2,1810,17860,17867,0.9972375690607734,0.10106382978723404,Canonical benchmark prediction artifact; AOI is an additional repo-specific metric only.
canonical_benchmark_prediction_artifact,threshold_baseline,5s,outputs/window_size_study/5s/ready_packages/threshold_baseline/predictions.parquet,0.05665529010238908,913,14266,936,1794,1849,15179,17909,0.49378042184964843,0.06014888991369655,Canonical benchmark prediction artifact; AOI is an additional repo-specific metric only.
canonical_benchmark_prediction_artifact,transformer,5s,outputs/window_size_study/5s/ready_packages/transformer/predictions.parquet,0.10124811104270443,1809,16057,1,0,1810,17866,17867,0.9994475138121547,0.10125377812604948,Canonical benchmark prediction artifact; AOI is an additional repo-specific metric only.
canonical_benchmark_prediction_artifact,autoencoder,60s,outputs/window_size_study/60s/ready_packages/autoencoder/predictions.parquet,0.087073007367716,130,1335,28,17,158,1465,1510,0.8227848101265823,0.08873720136518772,Canonical benchmark prediction artifact; AOI is an additional repo-specific metric only.
canonical_benchmark_prediction_artifact,gru,60s,outputs/window_size_study/60s/ready_packages/gru/predictions.parquet,0.6888888888888889,31,9,5,1313,36,40,1358,0.8611111111111112,0.775,Canonical benchmark prediction artifact; AOI is an additional repo-specific metric only.
canonical_benchmark_prediction_artifact,isolation_forest,60s,outputs/window_size_study/60s/ready_packages/isolation_forest/predictions.parquet,0.21976401179941002,149,520,9,832,158,669,1510,0.9430379746835443,0.2227204783258595,Canonical benchmark prediction artifact; AOI is an additional repo-specific metric only.
canonical_benchmark_prediction_artifact,lstm,60s,outputs/window_size_study/60s/ready_packages/lstm/predictions.parquet,0.6521739130434783,30,10,6,1312,36,40,1358,0.8333333333333334,0.75,Canonical benchmark prediction artifact; AOI is an additional repo-specific metric only.
canonical_benchmark_prediction_artifact,threshold_baseline,60s,outputs/window_size_study/60s/ready_packages/threshold_baseline/predictions.parquet,0.5136612021857924,94,25,64,1327,158,119,1510,0.5949367088607594,0.7899159663865546,Canonical benchmark prediction artifact; AOI is an additional repo-specific metric only.
canonical_benchmark_prediction_artifact,transformer,60s,outputs/window_size_study/60s/ready_packages/transformer/predictions.parquet,0.6923076923076923,36,16,0,1306,36,52,1358,1.0,0.6923076923076923,Canonical benchmark prediction artifact; AOI is an additional repo-specific metric only.
lstm_autoencoder_extension_prediction_artifact,lstm_autoencoder,10s,outputs/phase1_lstm_autoencoder_extension/predictions/lstm_autoencoder_10s_canonical_test.parquet,0.015076923076923076,49,2892,309,250,358,2941,3500,0.13687150837988826,0.016660999659979598,New LSTM autoencoder extension prediction artifact.
lstm_autoencoder_extension_prediction_artifact,lstm_autoencoder,300s,outputs/phase1_lstm_autoencoder_extension/predictions/lstm_autoencoder_300s_canonical_test.parquet,0.07179487179487179,14,161,20,120,34,175,315,0.4117647058823529,0.08,New LSTM autoencoder extension prediction artifact.
lstm_autoencoder_extension_prediction_artifact,lstm_autoencoder,5s,outputs/phase1_lstm_autoencoder_extension/predictions/lstm_autoencoder_5s_canonical_test.parquet,0.013565217391304348,39,2515,321,625,360,2554,3500,0.10833333333333334,0.015270164447924823,New LSTM autoencoder extension prediction artifact.
lstm_autoencoder_extension_prediction_artifact,lstm_autoencoder,60s,outputs/phase1_lstm_autoencoder_extension/predictions/lstm_autoencoder_60s_canonical_test.parquet,0.0073937153419593345,8,932,142,417,150,940,1499,0.05333333333333334,0.00851063829787234,New LSTM autoencoder extension prediction artifact.
ttm_extension_prediction_artifact,ttm_extension,60s,outputs/phase1_ttm_extension/ttm_extension_predictions.parquet,0.5652173913043478,26,15,5,1303,31,41,1349,0.8387096774193549,0.6341463414634146,TTM extension prediction artifact; extension-only comparison.
heldout_synthetic_zero_day_like_prediction_artifact,autoencoder,10s,outputs/window_size_study/detector_window_zero_day_audit/zero_day_full_matrix/evaluations/chatgpt__existing_heldout_phase2_bundle__phase2_zero_day_like_bundle_2026_04_15_c/10s/autoencoder/predictions.parquet,0.052488824149881964,1045,18415,449,23286,1494,19460,43195,0.6994645247657296,0.05369989722507708,Heldout synthetic zero-day-like prediction artifact; not real-world zero-day evidence.
heldout_synthetic_zero_day_like_prediction_artifact,gru,10s,outputs/window_size_study/detector_window_zero_day_audit/zero_day_full_matrix/evaluations/chatgpt__existing_heldout_phase2_bundle__phase2_zero_day_like_bundle_2026_04_15_c/10s/gru/predictions.parquet,0.034589738840526026,1494,41698,0,0,1494,43192,43192,1.0,0.034589738840526026,Heldout synthetic zero-day-like prediction artifact; not real-world zero-day evidence.
heldout_synthetic_zero_day_like_prediction_artifact,isolation_forest,10s,outputs/window_size_study/detector_window_zero_day_audit/zero_day_full_matrix/evaluations/chatgpt__existing_heldout_phase2_bundle__phase2_zero_day_like_bundle_2026_04_15_c/10s/isolation_forest/predictions.parquet,0.034587336497279776,1494,41701,0,0,1494,43195,43195,1.0,0.034587336497279776,Heldout synthetic zero-day-like prediction artifact; not real-world zero-day evidence.
heldout_synthetic_zero_day_like_prediction_artifact,lstm,10s,outputs/window_size_study/detector_window_zero_day_audit/zero_day_full_matrix/evaluations/chatgpt__existing_heldout_phase2_bundle__phase2_zero_day_like_bundle_2026_04_15_c/10s/lstm/predictions.parquet,0.03459294248402334,1494,41694,0,0,1494,43188,43188,1.0,0.03459294248402334,Heldout synthetic zero-day-like prediction artifact; not real-world zero-day evidence.
heldout_synthetic_zero_day_like_prediction_artifact,threshold_baseline,10s,outputs/window_size_study/detector_window_zero_day_audit/zero_day_full_matrix/evaluations/chatgpt__existing_heldout_phase2_bundle__phase2_zero_day_like_bundle_2026_04_15_c/10s/threshold_baseline/predictions.parquet,0.3801980198019802,576,21,918,41680,1494,597,43195,0.3855421686746988,0.964824120603015,Heldout synthetic zero-day-like prediction artifact; not real-world zero-day evidence.
heldout_synthetic_zero_day_like_prediction_artifact,transformer,10s,outputs/window_size_study/detector_window_zero_day_audit/zero_day_full_matrix/evaluations/chatgpt__existing_heldout_phase2_bundle__phase2_zero_day_like_bundle_2026_04_15_c/10s/transformer/predictions.parquet,0.03706744284399333,1490,38703,4,2995,1494,40193,43192,0.9973226238286479,0.03707113178911751,Heldout synthetic zero-day-like prediction artifact; not real-world zero-day evidence.
heldout_synthetic_zero_day_like_prediction_artifact,autoencoder,300s,outputs/window_size_study/detector_window_zero_day_audit/zero_day_full_matrix/evaluations/chatgpt__existing_heldout_phase2_bundle__phase2_zero_day_like_bundle_2026_04_15_c/300s/autoencoder/predictions.parquet,0.06480648064806481,72,1038,1,324,73,1110,1435,0.9863013698630136,0.06486486486486487,Heldout synthetic zero-day-like prediction artifact; not real-world zero-day evidence.
heldout_synthetic_zero_day_like_prediction_artifact,gru,300s,outputs/window_size_study/detector_window_zero_day_audit/zero_day_full_matrix/evaluations/chatgpt__existing_heldout_phase2_bundle__phase2_zero_day_like_bundle_2026_04_15_c/300s/gru/predictions.parquet,0.8333333333333334,65,5,8,1354,73,70,1432,0.8904109589041096,0.9285714285714286,Heldout synthetic zero-day-like prediction artifact; not real-world zero-day evidence.
heldout_synthetic_zero_day_like_prediction_artifact,isolation_forest,300s,outputs/window_size_study/detector_window_zero_day_audit/zero_day_full_matrix/evaluations/chatgpt__existing_heldout_phase2_bundle__phase2_zero_day_like_bundle_2026_04_15_c/300s/isolation_forest/predictions.parquet,0.028731604765241767,41,1354,32,8,73,1395,1435,0.5616438356164384,0.02939068100358423,Heldout synthetic zero-day-like prediction artifact; not real-world zero-day evidence.
heldout_synthetic_zero_day_like_prediction_artifact,lstm,300s,outputs/window_size_study/detector_window_zero_day_audit/zero_day_full_matrix/evaluations/chatgpt__existing_heldout_phase2_bundle__phase2_zero_day_like_bundle_2026_04_15_c/300s/lstm/predictions.parquet,0.8701298701298701,67,4,6,1355,73,71,1432,0.9178082191780822,0.9436619718309859,Heldout synthetic zero-day-like prediction artifact; not real-world zero-day evidence.
heldout_synthetic_zero_day_like_prediction_artifact,threshold_baseline,300s,outputs/window_size_study/detector_window_zero_day_audit/zero_day_full_matrix/evaluations/chatgpt__existing_heldout_phase2_bundle__phase2_zero_day_like_bundle_2026_04_15_c/300s/threshold_baseline/predictions.parquet,0.5180722891566265,43,10,30,1352,73,53,1435,0.589041095890411,0.8113207547169812,Heldout synthetic zero-day-like prediction artifact; not real-world zero-day evidence.
heldout_synthetic_zero_day_like_prediction_artifact,transformer,300s,outputs/window_size_study/detector_window_zero_day_audit/zero_day_full_matrix/evaluations/chatgpt__existing_heldout_phase2_bundle__phase2_zero_day_like_bundle_2026_04_15_c/300s/transformer/predictions.parquet,0.8076923076923077,63,5,10,1354,73,68,1432,0.863013698630137,0.9264705882352942,Heldout synthetic zero-day-like prediction artifact; not real-world zero-day evidence.
heldout_synthetic_zero_day_like_prediction_artifact,autoencoder,5s,outputs/window_size_study/detector_window_zero_day_audit/zero_day_full_matrix/evaluations/chatgpt__existing_heldout_phase2_bundle__phase2_zero_day_like_bundle_2026_04_15_c/5s/autoencoder/predictions.parquet,0.07962044425274963,1846,20213,1126,63210,2972,22059,86395,0.6211305518169583,0.08368466385602248,Heldout synthetic zero-day-like prediction artifact; not real-world zero-day evidence.
heldout_synthetic_zero_day_like_prediction_artifact,gru,5s,outputs/window_size_study/detector_window_zero_day_audit/zero_day_full_matrix/evaluations/chatgpt__existing_heldout_phase2_bundle__phase2_zero_day_like_bundle_2026_04_15_c/5s/gru/predictions.parquet,0.034428033593976254,2972,83353,0,67,2972,86325,86392,1.0,0.034428033593976254,Heldout synthetic zero-day-like prediction artifact; not real-world zero-day evidence.
heldout_synthetic_zero_day_like_prediction_artifact,isolation_forest,5s,outputs/window_size_study/detector_window_zero_day_audit/zero_day_full_matrix/evaluations/chatgpt__existing_heldout_phase2_bundle__phase2_zero_day_like_bundle_2026_04_15_c/5s/isolation_forest/predictions.parquet,0.034400138896926905,2972,83423,0,0,2972,86395,86395,1.0,0.034400138896926905,Heldout synthetic zero-day-like prediction artifact; not real-world zero-day evidence.
heldout_synthetic_zero_day_like_prediction_artifact,lstm,5s,outputs/window_size_study/detector_window_zero_day_audit/zero_day_full_matrix/evaluations/chatgpt__existing_heldout_phase2_bundle__phase2_zero_day_like_bundle_2026_04_15_c/5s/lstm/predictions.parquet,0.034401333456801554,2972,83420,0,0,2972,86392,86392,1.0,0.034401333456801554,Heldout synthetic zero-day-like prediction artifact; not real-world zero-day evidence.
heldout_synthetic_zero_day_like_prediction_artifact,threshold_baseline,5s,outputs/window_size_study/detector_window_zero_day_audit/zero_day_full_matrix/evaluations/chatgpt__existing_heldout_phase2_bundle__phase2_zero_day_like_bundle_2026_04_15_c/5s/threshold_baseline/predictions.parquet,0.40759987008769083,1255,107,1717,83316,2972,1362,86395,0.42227456258411844,0.92143906020558,Heldout synthetic zero-day-like prediction artifact; not real-world zero-day evidence.
heldout_synthetic_zero_day_like_prediction_artifact,transformer,5s,outputs/window_size_study/detector_window_zero_day_audit/zero_day_full_matrix/evaluations/chatgpt__existing_heldout_phase2_bundle__phase2_zero_day_like_bundle_2026_04_15_c/5s/transformer/predictions.parquet,0.034401731661862923,2972,83419,0,1,2972,86391,86392,1.0,0.034401731661862923,Heldout synthetic zero-day-like prediction artifact; not real-world zero-day evidence.
heldout_synthetic_zero_day_like_prediction_artifact,autoencoder,60s,outputs/window_size_study/detector_window_zero_day_audit/zero_day_full_matrix/evaluations/chatgpt__existing_heldout_phase2_bundle__phase2_zero_day_like_bundle_2026_04_15_c/60s/autoencoder/predictions.parquet,0.0516072600043735,236,4304,33,2622,269,4540,7195,0.8773234200743495,0.051982378854625554,Heldout synthetic zero-day-like prediction artifact; not real-world zero-day evidence.
heldout_synthetic_zero_day_like_prediction_artifact,gru,60s,outputs/window_size_study/detector_window_zero_day_audit/zero_day_full_matrix/evaluations/chatgpt__existing_heldout_phase2_bundle__phase2_zero_day_like_bundle_2026_04_15_c/60s/gru/predictions.parquet,0.44244604316546765,123,9,146,6906,269,132,7184,0.45724907063197023,0.9318181818181818,Heldout synthetic zero-day-like prediction artifact; not real-world zero-day evidence.
heldout_synthetic_zero_day_like_prediction_artifact,isolation_forest,60s,outputs/window_size_study/detector_window_zero_day_audit/zero_day_full_matrix/evaluations/chatgpt__existing_heldout_phase2_bundle__phase2_zero_day_like_bundle_2026_04_15_c/60s/isolation_forest/predictions.parquet,0.0373870743571925,269,6926,0,0,269,7195,7195,1.0,0.0373870743571925,Heldout synthetic zero-day-like prediction artifact; not real-world zero-day evidence.
heldout_synthetic_zero_day_like_prediction_artifact,lstm,60s,outputs/window_size_study/detector_window_zero_day_audit/zero_day_full_matrix/evaluations/chatgpt__existing_heldout_phase2_bundle__phase2_zero_day_like_bundle_2026_04_15_c/60s/lstm/predictions.parquet,0.43478260869565216,120,7,149,6908,269,127,7184,0.44609665427509293,0.9448818897637795,Heldout synthetic zero-day-like prediction artifact; not real-world zero-day evidence.
heldout_synthetic_zero_day_like_prediction_artifact,threshold_baseline,60s,outputs/window_size_study/detector_window_zero_day_audit/zero_day_full_matrix/evaluations/chatgpt__existing_heldout_phase2_bundle__phase2_zero_day_like_bundle_2026_04_15_c/60s/threshold_baseline/predictions.parquet,0.5272727272727272,145,6,124,6920,269,151,7195,0.5390334572490706,0.9602649006622517,Heldout synthetic zero-day-like prediction artifact; not real-world zero-day evidence.
