dataset_id,source_bundle,generator_source,scenario_id,attack_family,severity,accepted_rejected,repair_applied,replay_evaluated,replay_detected,replay_latency_seconds,replay_max_score,numeric_magnitude,impact_proxy,family_detection_rate,difficulty_score,difficulty_basis,component_impact_hardness,component_score_hardness,component_latency_hardness,component_detection_failure,component_family_hardness,difficulty_bucket
human_authored_phase3_bundle_v1,additional_heldout_human_authored,human_authored,human_coord_pv83_bess48_evening,coordinated_campaign,critical,accepted,False,True,1,1.0,0.04744728908925546,0.8,0.7542,1.0,30.47,replay+metadata,0.2458,0.7159,0.4286,0.0,0.0,hard
human_authored_phase3_bundle_v1,additional_heldout_human_authored,human_authored,human_delay_bess48_target_kw,command_delay,critical,accepted,False,True,1,1.0,0.047691204328163414,180.0,0.975,1.0,7.05,replay+metadata,0.025,0.0,0.4286,0.0,0.0,easy
human_authored_phase3_bundle_v1,additional_heldout_human_authored,human_authored,human_disconnect_bess108_standby,degradation,low,accepted,False,True,1,1.0,0.04764875217400298,0.0,0.1938,0.9231,36.55,replay+metadata,0.8063,0.3523,0.4286,0.0,0.0769,hard
human_authored_phase3_bundle_v1,additional_heldout_human_authored,human_authored,human_fdi_bus114_voltage_dropout,false_data_injection,critical,accepted,False,True,1,1.0,0.04763760434758521,1.0,0.8417,0.88,24.12,replay+metadata,0.1583,0.4773,0.4286,0.0,0.12,moderate
human_authored_phase3_bundle_v1,additional_heldout_human_authored,human_authored,human_oscillate_c90b_state,unauthorized_command,critical,accepted,False,True,1,1.0,0.04766176608667906,1.0,0.8417,1.0,14.08,replay+metadata,0.1583,0.1477,0.4286,0.0,0.0,easy
human_authored_phase3_bundle_v1,additional_heldout_human_authored,human_authored,human_suppress_pv60_curtailment,command_suppression,low,accepted,False,True,1,1.0,0.04764189781038146,0.0,0.1938,1.0,37.1,replay+metadata,0.8063,0.4205,0.4286,0.0,0.0,hard
ieee123_der_research_attacks_13scenario,canonical_bundle,canonical_bundle,scn_command_delay_bess48_recharge,command_delay,high,accepted,False,True,1,1.0,0.047667815815597744,,0.75,1.0,15.24,replay+metadata,0.25,0.1023,0.4286,0.0,0.0,easy
ieee123_der_research_attacks_13scenario,canonical_bundle,canonical_bundle,scn_command_delay_creg3a,command_delay,high,accepted,False,True,1,1.0,0.04765186085694057,124.5,0.8167,1.0,18.54,replay+metadata,0.1833,0.3011,0.4286,0.0,0.0,easy
ieee123_der_research_attacks_13scenario,canonical_bundle,canonical_bundle,scn_command_suppression_bess108_charge,command_suppression,high,accepted,False,True,1,13.0,0.04767496281073356,,0.75,1.0,22.0,replay+metadata,0.25,0.0909,0.8988,0.0,0.0,easy
ieee123_der_research_attacks_13scenario,canonical_bundle,canonical_bundle,scn_coordinated_pv35_bess48_dispatch_disturbance,coordinated_campaign,critical,accepted,False,True,1,1.0,0.04765496973254499,0.55,0.7375,1.0,17.82,replay+metadata,0.2625,0.1932,0.4286,0.0,0.0,easy
ieee123_der_research_attacks_13scenario,canonical_bundle,canonical_bundle,scn_coordinated_pv83_reg4a_disturbance,coordinated_campaign,critical,accepted,False,True,1,13.0,0.04757288835682794,0.75,0.7458,1.0,36.31,replay+metadata,0.2542,0.6591,0.8988,0.0,0.0,hard
ieee123_der_research_attacks_13scenario,canonical_bundle,canonical_bundle,scn_degradation_bess108_status_loss,degradation,medium,accepted,False,True,1,1.0,0.04731664025329801,0.0,0.3438,0.9231,43.59,replay+metadata,0.6562,0.7841,0.4286,0.0,0.0769,very hard
ieee123_der_research_attacks_13scenario,canonical_bundle,canonical_bundle,scn_degradation_feeder_power_dropout,degradation,medium,accepted,False,True,1,1.0,0.04760609700014997,,0.5,0.9231,35.14,replay+metadata,0.5,0.6023,0.4286,0.0,0.0769,hard
ieee123_der_research_attacks_13scenario,canonical_bundle,canonical_bundle,scn_false_data_injection_bess48_soc_bias,false_data_injection,low,accepted,False,True,1,1.0,0.04757462934795871,-0.08,0.1542,0.88,45.57,replay+metadata,0.8458,0.6477,0.4286,0.0,0.12,very hard
ieee123_der_research_attacks_13scenario,canonical_bundle,canonical_bundle,scn_false_data_injection_pv60_voltage,false_data_injection,medium,accepted,False,True,1,1.0,0.04765160179267044,0.025,0.3958,0.88,31.29,replay+metadata,0.6042,0.3182,0.4286,0.0,0.12,hard
ieee123_der_research_attacks_13scenario,canonical_bundle,canonical_bundle,scn_pv60_curtailment_inconsistency,telemetry_corruption,high,accepted,False,True,1,13.0,0.04765186085694057,0.65,0.5917,1.0,31.22,replay+metadata,0.4083,0.3011,0.8988,0.0,0.0,hard
ieee123_der_research_attacks_13scenario,canonical_bundle,canonical_bundle,scn_replay_bus83_voltage,replay,medium,accepted,False,True,1,1.0,0.047649768452997135,1.0,0.5417,1.0,26.41,replay+metadata,0.4583,0.3409,0.4286,0.0,0.0,moderate
ieee123_der_research_attacks_13scenario,canonical_bundle,canonical_bundle,scn_unauthorized_bess48_discharge,unauthorized_command,high,accepted,False,True,1,1.0,0.04768819291951287,420.0,0.85,1.0,11.31,replay+metadata,0.15,0.0455,0.4286,0.0,0.0,easy
ieee123_der_research_attacks_13scenario,canonical_bundle,canonical_bundle,scn_unauthorized_capacitor_c83_drop,unauthorized_command,medium,accepted,False,True,1,13.0,0.04758456907930243,0.0,0.3438,1.0,45.8,replay+metadata,0.6562,0.6364,0.8988,0.0,0.0,very hard
phase2_zero_day_like_bundle_2026_04_15_c,heldout_original_chatgpt,chatgpt,scn_cmd_delay_creg4b_vreg_ramp,command_delay,,rejected,False,False,,,,2.5,0.6167,1.0,23.96,metadata_only,0.3833,,,,0.0,moderate
phase2_zero_day_like_bundle_2026_04_15_c,heldout_original_chatgpt,chatgpt,scn_cmd_delay_pv60_curtailment_release,command_delay,high,accepted,False,True,1,1.0,0.04692250994034718,0.3,0.5646,1.0,38.19,replay+metadata,0.4354,0.8352,0.4286,0.0,0.0,very hard
phase2_zero_day_like_bundle_2026_04_15_c,heldout_original_chatgpt,chatgpt,scn_cmd_suppress_bess48_discharge_hold,command_suppression,critical,accepted,False,True,1,1.0,0.04768990800428369,180.0,0.975,1.0,7.91,replay+metadata,0.025,0.0341,0.4286,0.0,0.0,easy
phase2_zero_day_like_bundle_2026_04_15_c,heldout_original_chatgpt,chatgpt,scn_coord_pv60_bess48_misaligned_support,coordinated_campaign,high,accepted,False,True,1,1.0,0.047208697367415786,0.35,0.5771,1.0,36.89,replay+metadata,0.4229,0.7955,0.4286,0.0,0.0,hard
phase2_zero_day_like_bundle_2026_04_15_c,heldout_original_chatgpt,chatgpt,scn_der_disconnect_bess108_standby_ramp,degradation,,rejected,False,False,,,,1.0,0.5417,0.9231,31.53,metadata_only,0.4583,,,,0.0769,hard
phase2_zero_day_like_bundle_2026_04_15_c,heldout_original_chatgpt,chatgpt,scn_der_disconnect_pv83_status_trip,degradation,critical,accepted,False,True,1,1.0,0.047625542780138225,1.0,0.8417,0.9231,25.46,replay+metadata,0.1583,0.5568,0.4286,0.0,0.0769,moderate
phase2_zero_day_like_bundle_2026_04_15_c,heldout_original_chatgpt,chatgpt,scn_fdi_bus150_voltage_dropout,false_data_injection,critical,accepted,False,True,1,1.0,0.04766215476232704,1.0,0.8417,0.88,15.45,replay+metadata,0.1583,0.1307,0.4286,0.0,0.12,easy
phase2_zero_day_like_bundle_2026_04_15_c,heldout_original_chatgpt,chatgpt,scn_fdi_pv35_qvar_step_bias,false_data_injection,critical,accepted,False,True,1,1.0,0.047645225247819084,70.0,0.9437,0.88,18.87,replay+metadata,0.0563,0.3693,0.4286,0.0,0.12,easy
phase2_zero_day_like_bundle_2026_04_15_c,heldout_original_chatgpt,chatgpt,scn_osc_cap_c90b_reactive_toggle,unauthorized_command,critical,accepted,False,True,1,1.0,0.04765629504898799,1.0,0.8417,1.0,14.36,replay+metadata,0.1583,0.1591,0.4286,0.0,0.0,easy
phase2_zero_day_like_bundle_2026_04_15_c,heldout_original_chatgpt,chatgpt,scn_osc_sw3_state_dither,unauthorized_command,critical,accepted,False,True,1,1.0,0.04766602175071149,1.0,0.8417,1.0,13.23,replay+metadata,0.1583,0.1136,0.4286,0.0,0.0,easy
claude_phase2_llm_benchmark_v2,heldout_original_claude,claude,scn_cmd_delay_bess108_target_kw_ramp,command_delay,critical,accepted,False,True,1,1.0,0.04765467079382595,280.0,0.9938,1.0,11.84,replay+metadata,0.0062,0.2102,0.4286,0.0,0.0,easy
claude_phase2_llm_benchmark_v2,heldout_original_claude,claude,scn_cmd_delay_creg4b_vreg_step,command_delay,,rejected,False,False,,,,3.0,0.6229,1.0,23.57,metadata_only,0.3771,,,,0.0,moderate
claude_phase2_llm_benchmark_v2,heldout_original_claude,claude,scn_cmd_suppression_pv60_status_freeze,command_suppression,critical,accepted,False,True,1,1.0,0.047650535657641914,1.0,0.8417,1.0,18.63,replay+metadata,0.1583,0.3295,0.4286,0.0,0.0,easy
claude_phase2_llm_benchmark_v2,heldout_original_claude,claude,scn_coordinated_pv83_bess48_evening_ramp_disruption,coordinated_campaign,,rejected,False,False,,,,0.85,0.4646,1.0,33.46,metadata_only,0.5354,,,,0.0,hard
claude_phase2_llm_benchmark_v2,heldout_original_claude,claude,scn_der_disconnect_bess108_mode_standby,degradation,,rejected,False,False,,,,1.0,0.5417,0.9231,31.53,metadata_only,0.4583,,,,0.0769,hard
claude_phase2_llm_benchmark_v2,heldout_original_claude,claude,scn_fdi_bess48_terminal_i_stale_replay,false_data_injection,critical,accepted,False,True,1,1.0,0.047629914887572115,1.0,0.8417,0.88,25.11,replay+metadata,0.1583,0.517,0.4286,0.0,0.12,moderate
claude_phase2_llm_benchmark_v2,heldout_original_claude,claude,scn_fdi_bus114_vpu_phase_a_dropout,false_data_injection,low,accepted,False,True,1,1.0,0.04765526867304543,0.0,0.1938,0.88,32.79,replay+metadata,0.8063,0.1761,0.4286,0.0,0.12,hard
claude_phase2_llm_benchmark_v2,heldout_original_claude,claude,scn_fdi_bus150_vpu_phase_c_ramp_bias,false_data_injection,low,accepted,False,True,1,1.0,0.04764282429024552,0.018,0.2354,0.88,37.43,replay+metadata,0.7646,0.4034,0.4286,0.0,0.12,hard
claude_phase2_llm_benchmark_v2,heldout_original_claude,claude,scn_fdi_pv83_q_kvar_scale_step,false_data_injection,medium,accepted,False,True,1,1.0,0.04765424231810187,0.15,0.4062,0.88,28.9,replay+metadata,0.5938,0.233,0.4286,0.0,0.12,moderate
claude_phase2_llm_benchmark_v2,heldout_original_claude,claude,scn_oscillatory_sw3_state_switching,unauthorized_command,critical,accepted,False,True,1,1.0,0.04680819179904663,1.0,0.8417,1.0,31.98,replay+metadata,0.1583,0.8636,0.4286,0.0,0.0,hard
phase2_llm_synthetic_benchmark_002,heldout_original_gemini,gemini,scn_01_fdi_feeder_power_ramp,false_data_injection,critical,accepted,False,True,1,1.0,0.04765400317045192,50.0,0.9313,0.88,16.34,replay+metadata,0.0687,0.2557,0.4286,0.0,0.12,easy
phase2_llm_synthetic_benchmark_002,heldout_original_gemini,gemini,scn_02_delay_creg4a,command_delay,,rejected,False,False,,,,60.0,0.6375,1.0,22.66,metadata_only,0.3625,,,,0.0,easy
phase2_llm_synthetic_benchmark_002,heldout_original_gemini,gemini,scn_03_suppress_bess48_target,command_suppression,low,accepted,False,True,1,1.0,0.04768337703543878,0.0,0.1938,1.0,28.15,replay+metadata,0.8063,0.0625,0.4286,0.0,0.0,moderate
phase2_llm_synthetic_benchmark_002,heldout_original_gemini,gemini,scn_04_disconnect_pv60,degradation,low,accepted,False,True,1,1.0,0.04667306140950697,0.0,0.1938,0.9231,49.76,replay+metadata,0.8063,0.8807,0.4286,0.0,0.0769,very hard
phase2_llm_synthetic_benchmark_002,heldout_original_gemini,gemini,scn_05_oscillation_c83,unauthorized_command,critical,accepted,False,True,1,1.0,0.0476294766637121,1.0,0.8417,1.0,23.88,replay+metadata,0.1583,0.5398,0.4286,0.0,0.0,moderate
phase2_llm_synthetic_benchmark_002,heldout_original_gemini,gemini,scn_06_coord_curtail_and_charge,coordinated_campaign,,rejected,False,False,,,,1.0,0.5417,1.0,28.65,metadata_only,0.4583,,,,0.0,moderate
phase2_llm_synthetic_benchmark_002,heldout_original_gemini,gemini,scn_07_fdi_bus48_dropout,false_data_injection,,rejected,False,False,,,,0.0,0.3438,0.88,45.52,metadata_only,0.6562,,,,0.12,very hard
phase2_llm_synthetic_benchmark_002,heldout_original_gemini,gemini,scn_08_oscillation_sw4,unauthorized_command,,rejected,False,False,,,,1.0,0.5417,1.0,28.65,metadata_only,0.4583,,,,0.0,moderate
phase2_llm_synthetic_benchmark_002,heldout_original_gemini,gemini,scn_09_disconnect_bess108_mode,degradation,low,accepted,False,True,1,61.0,0.03700370949132799,0.0,0.1938,0.9231,59.71,replay+metadata,0.8063,0.9432,0.9881,0.0,0.0769,very hard
phase2_llm_synthetic_benchmark_002,heldout_original_gemini,gemini,scn_10_fdi_pv35_voltage_scale,false_data_injection,,rejected,False,False,,,,0.9,0.4729,0.88,37.44,metadata_only,0.5271,,,,0.12,very hard
phase2_llm_benchmark_grok_synthetic_03,heldout_original_grok,grok,scn_command_delay_bess48_target_kw,command_delay,critical,accepted,False,True,1,1.0,0.047690376671361674,200.0,0.9854,1.0,7.22,replay+metadata,0.0146,0.017,0.4286,0.0,0.0,easy
phase2_llm_benchmark_grok_synthetic_03,heldout_original_grok,grok,scn_command_delay_creg3c_vreg,command_delay,,rejected,False,False,,,,3.0,0.6229,1.0,23.57,metadata_only,0.3771,,,,0.0,moderate
phase2_llm_benchmark_grok_synthetic_03,heldout_original_grok,grok,scn_command_suppression_pv60_curtailment_frac,command_suppression,low,accepted,False,True,1,1.0,0.04763998513190093,0.0,0.1938,1.0,37.52,replay+metadata,0.8063,0.4375,0.4286,0.0,0.0,very hard
phase2_llm_benchmark_grok_synthetic_03,heldout_original_grok,grok,scn_coordinated_multi_asset_pv60_bess48_curtail,coordinated_campaign,critical,accepted,False,True,1,13.0,0.047164137267243576,0.8,0.7542,1.0,39.94,replay+metadata,0.2458,0.8125,0.8988,0.0,0.0,very hard
phase2_llm_benchmark_grok_synthetic_03,heldout_original_grok,grok,scn_der_disconnect_bess108_status_cmd,degradation,low,accepted,False,True,1,1.0,0.04763804264248496,0.0,0.1938,0.9231,39.24,replay+metadata,0.8063,0.4602,0.4286,0.0,0.0769,very hard
phase2_llm_benchmark_grok_synthetic_03,heldout_original_grok,grok,scn_false_data_injection_bess48_soc_stale,false_data_injection,critical,accepted,False,True,1,1.0,0.04763237498807215,1.0,0.8417,0.88,24.54,replay+metadata,0.1583,0.4943,0.4286,0.0,0.12,moderate
phase2_llm_benchmark_grok_synthetic_03,heldout_original_grok,grok,scn_false_data_injection_bus83_v_pu_bias,false_data_injection,low,accepted,False,True,1,1.0,0.04765240888192073,0.025,0.2458,0.88,34.04,replay+metadata,0.7542,0.2784,0.4286,0.0,0.12,hard
phase2_llm_benchmark_grok_synthetic_03,heldout_original_grok,grok,scn_false_data_injection_feeder_q_kvar_scale,false_data_injection,critical,accepted,False,True,0,,0.002802374853489007,1.15,0.9104,0.88,63.47,replay+metadata,0.0896,0.9773,1.0,1.0,0.12,very hard
phase2_llm_benchmark_grok_synthetic_03,heldout_original_grok,grok,scn_oscillatory_control_capacitor_c83_state,unauthorized_command,critical,accepted,False,True,1,1.0,0.04761199067427367,1.0,0.8417,1.0,25.02,replay+metadata,0.1583,0.5852,0.4286,0.0,0.0,moderate
phase2_llm_benchmark_grok_synthetic_03,heldout_original_grok,grok,scn_oscillatory_control_pv35_curtailment_osc,unauthorized_command,high,accepted,False,True,1,1.0,0.04742574013466482,0.35,0.5771,1.0,35.33,replay+metadata,0.4229,0.733,0.4286,0.0,0.0,hard
phase2_zero_day_like_bundle_2026_04_15_c_repaired,heldout_repaired_chatgpt,chatgpt,scn_cmd_delay_creg4b_vreg_ramp,command_delay,critical,accepted,True,True,1,1.0,0.0473891619531431,122.5,0.9583,1.0,26.22,replay+metadata,0.0417,0.75,0.4286,0.0,0.0,moderate
phase2_zero_day_like_bundle_2026_04_15_c_repaired,heldout_repaired_chatgpt,chatgpt,scn_cmd_delay_pv60_curtailment_release,command_delay,high,accepted,False,True,1,1.0,0.04692250994034718,0.3,0.5646,1.0,38.19,replay+metadata,0.4354,0.8352,0.4286,0.0,0.0,very hard
phase2_zero_day_like_bundle_2026_04_15_c_repaired,heldout_repaired_chatgpt,chatgpt,scn_cmd_suppress_bess48_discharge_hold,command_suppression,critical,accepted,False,True,1,13.0,0.047678591521384976,180.0,0.975,1.0,16.1,replay+metadata,0.025,0.0795,0.8988,0.0,0.0,easy
phase2_zero_day_like_bundle_2026_04_15_c_repaired,heldout_repaired_chatgpt,chatgpt,scn_coord_pv60_bess48_misaligned_support,coordinated_campaign,high,accepted,False,True,1,1.0,0.04733386474948424,0.35,0.5771,1.0,36.32,replay+metadata,0.4229,0.7727,0.4286,0.0,0.0,hard
phase2_zero_day_like_bundle_2026_04_15_c_repaired,heldout_repaired_chatgpt,chatgpt,scn_der_disconnect_bess108_standby_ramp,degradation,critical,accepted,True,True,1,1.0,0.04756141922548552,1.0,0.8417,0.9231,28.3,replay+metadata,0.1583,0.6705,0.4286,0.0,0.0769,moderate
phase2_zero_day_like_bundle_2026_04_15_c_repaired,heldout_repaired_chatgpt,chatgpt,scn_der_disconnect_pv83_status_trip,degradation,critical,accepted,False,True,1,1.0,0.0475584553846119,1.0,0.8417,0.9231,28.59,replay+metadata,0.1583,0.6818,0.4286,0.0,0.0769,moderate
phase2_zero_day_like_bundle_2026_04_15_c_repaired,heldout_repaired_chatgpt,chatgpt,scn_fdi_bus150_voltage_dropout,false_data_injection,critical,accepted,False,True,1,1.0,0.04766215476232704,1.0,0.8417,0.88,15.45,replay+metadata,0.1583,0.1307,0.4286,0.0,0.12,easy
phase2_zero_day_like_bundle_2026_04_15_c_repaired,heldout_repaired_chatgpt,chatgpt,scn_fdi_pv35_qvar_step_bias,false_data_injection,critical,accepted,False,True,1,1.0,0.047645225247819084,70.0,0.9437,0.88,18.87,replay+metadata,0.0563,0.3693,0.4286,0.0,0.12,easy
phase2_zero_day_like_bundle_2026_04_15_c_repaired,heldout_repaired_chatgpt,chatgpt,scn_osc_cap_c90b_reactive_toggle,unauthorized_command,critical,accepted,False,True,1,1.0,0.04750943823666014,1.0,0.8417,1.0,27.72,replay+metadata,0.1583,0.6932,0.4286,0.0,0.0,moderate
phase2_zero_day_like_bundle_2026_04_15_c_repaired,heldout_repaired_chatgpt,chatgpt,scn_osc_sw3_state_dither,unauthorized_command,critical,accepted,False,True,1,1.0,0.04758698715009462,1.0,0.8417,1.0,25.73,replay+metadata,0.1583,0.6136,0.4286,0.0,0.0,moderate
claude_phase2_llm_benchmark_v2_repaired,heldout_repaired_claude,claude,scn_cmd_delay_bess108_target_kw_ramp,command_delay,critical,accepted,False,True,1,1.0,0.04765467079382595,280.0,0.9938,1.0,11.84,replay+metadata,0.0062,0.2102,0.4286,0.0,0.0,easy
claude_phase2_llm_benchmark_v2_repaired,heldout_repaired_claude,claude,scn_cmd_delay_creg4b_vreg_step,command_delay,critical,accepted,True,True,1,1.0,0.04749592745437843,117.0,0.9521,1.0,25.24,replay+metadata,0.0479,0.7045,0.4286,0.0,0.0,moderate
claude_phase2_llm_benchmark_v2_repaired,heldout_repaired_claude,claude,scn_cmd_suppression_pv60_status_freeze,command_suppression,critical,accepted,False,True,1,25.0,0.04550425056251349,1.0,0.8417,1.0,40.78,replay+metadata,0.1583,0.8977,0.9583,0.0,0.0,very hard
claude_phase2_llm_benchmark_v2_repaired,heldout_repaired_claude,claude,scn_coordinated_pv83_bess48_evening_ramp_disruption,coordinated_campaign,critical,accepted,True,True,1,25.0,0.04734873804303487,0.85,0.7646,1.0,39.29,replay+metadata,0.2354,0.7614,0.9583,0.0,0.0,very hard
claude_phase2_llm_benchmark_v2_repaired,heldout_repaired_claude,claude,scn_der_disconnect_bess108_mode_standby,degradation,critical,accepted,True,True,1,1.0,0.046812345603390024,1.0,0.8417,0.9231,32.85,replay+metadata,0.1583,0.8523,0.4286,0.0,0.0769,hard
claude_phase2_llm_benchmark_v2_repaired,heldout_repaired_claude,claude,scn_fdi_bess48_terminal_i_stale_replay,false_data_injection,critical,accepted,False,True,1,1.0,0.047629914887572115,1.0,0.8417,0.88,25.11,replay+metadata,0.1583,0.517,0.4286,0.0,0.12,moderate
claude_phase2_llm_benchmark_v2_repaired,heldout_repaired_claude,claude,scn_fdi_bus114_vpu_phase_a_dropout,false_data_injection,low,accepted,False,True,1,1.0,0.04765526867304543,0.0,0.1938,0.88,32.79,replay+metadata,0.8063,0.1761,0.4286,0.0,0.12,hard
claude_phase2_llm_benchmark_v2_repaired,heldout_repaired_claude,claude,scn_fdi_bus150_vpu_phase_c_ramp_bias,false_data_injection,low,accepted,False,True,1,1.0,0.04764282429024552,0.018,0.2354,0.88,37.43,replay+metadata,0.7646,0.4034,0.4286,0.0,0.12,hard
claude_phase2_llm_benchmark_v2_repaired,heldout_repaired_claude,claude,scn_fdi_pv83_q_kvar_scale_step,false_data_injection,medium,accepted,False,True,1,1.0,0.04765424231810187,0.15,0.4062,0.88,28.9,replay+metadata,0.5938,0.233,0.4286,0.0,0.12,moderate
claude_phase2_llm_benchmark_v2_repaired,heldout_repaired_claude,claude,scn_oscillatory_sw3_state_switching,unauthorized_command,critical,accepted,False,True,1,1.0,0.04496698977117833,1.0,0.8417,1.0,33.11,replay+metadata,0.1583,0.9091,0.4286,0.0,0.0,hard
phase2_llm_synthetic_benchmark_002_repaired,heldout_repaired_gemini,gemini,scn_01_fdi_feeder_power_ramp,false_data_injection,critical,accepted,False,True,1,1.0,0.04765400317045192,50.0,0.9313,0.88,16.34,replay+metadata,0.0687,0.2557,0.4286,0.0,0.12,easy
phase2_llm_synthetic_benchmark_002_repaired,heldout_repaired_gemini,gemini,scn_02_delay_creg4a,command_delay,critical,accepted,True,True,1,1.0,0.04764409947331713,124.0,0.9625,1.0,17.03,replay+metadata,0.0375,0.3864,0.4286,0.0,0.0,easy
phase2_llm_synthetic_benchmark_002_repaired,heldout_repaired_gemini,gemini,scn_03_suppress_bess48_target,command_suppression,low,accepted,False,True,1,1.0,0.04768337703543878,0.0,0.1938,1.0,28.15,replay+metadata,0.8063,0.0625,0.4286,0.0,0.0,moderate
phase2_llm_synthetic_benchmark_002_repaired,heldout_repaired_gemini,gemini,scn_04_disconnect_pv60,degradation,low,accepted,False,True,1,1.0,0.04667306140950697,0.0,0.1938,0.9231,49.76,replay+metadata,0.8063,0.8807,0.4286,0.0,0.0769,very hard
phase2_llm_synthetic_benchmark_002_repaired,heldout_repaired_gemini,gemini,scn_05_oscillation_c83,unauthorized_command,critical,accepted,False,True,1,1.0,0.0476294766637121,1.0,0.8417,1.0,23.88,replay+metadata,0.1583,0.5398,0.4286,0.0,0.0,moderate
phase2_llm_synthetic_benchmark_002_repaired,heldout_repaired_gemini,gemini,scn_06_coord_curtail_and_charge,coordinated_campaign,critical,accepted,True,True,1,13.0,0.04758612140763017,1.0,0.8417,1.0,33.07,replay+metadata,0.1583,0.625,0.8988,0.0,0.0,hard
phase2_llm_synthetic_benchmark_002_repaired,heldout_repaired_gemini,gemini,scn_07_fdi_bus48_dropout,false_data_injection,low,accepted,True,True,1,49.0,0.042073704762213324,0.0,0.1938,0.88,59.61,replay+metadata,0.8063,0.9205,0.9762,0.0,0.12,very hard
phase2_llm_synthetic_benchmark_002_repaired,heldout_repaired_gemini,gemini,scn_08_oscillation_sw4,unauthorized_command,critical,accepted,True,True,1,133.0,0.037401307481459034,1.0,0.8417,1.0,42.25,replay+metadata,0.1583,0.9318,1.0,0.0,0.0,very hard
phase2_llm_synthetic_benchmark_002_repaired,heldout_repaired_gemini,gemini,scn_09_disconnect_bess108_mode,degradation,low,accepted,False,True,0,,0.020137978038966175,0.0,0.1938,0.9231,80.17,replay+metadata,0.8063,0.9545,1.0,1.0,0.0769,very hard
phase2_llm_synthetic_benchmark_002_repaired,heldout_repaired_gemini,gemini,scn_10_fdi_pv35_voltage_scale,false_data_injection,critical,accepted,True,True,0,,0.004121871638790576,0.9,0.7729,0.88,66.62,replay+metadata,0.2271,0.9659,1.0,1.0,0.12,very hard
phase2_llm_benchmark_grok_synthetic_03_repaired,heldout_repaired_grok,grok,scn_command_delay_bess48_target_kw,command_delay,critical,accepted,False,True,1,1.0,0.047690376671361674,200.0,0.9854,1.0,7.22,replay+metadata,0.0146,0.017,0.4286,0.0,0.0,easy
phase2_llm_benchmark_grok_synthetic_03_repaired,heldout_repaired_grok,grok,scn_command_delay_creg3c_vreg,command_delay,critical,accepted,True,True,1,1.0,0.047622176815971244,117.0,0.9521,1.0,21.83,replay+metadata,0.0479,0.5682,0.4286,0.0,0.0,easy
phase2_llm_benchmark_grok_synthetic_03_repaired,heldout_repaired_grok,grok,scn_command_suppression_pv60_curtailment_frac,command_suppression,low,accepted,False,True,1,1.0,0.04763998513190093,0.0,0.1938,1.0,37.52,replay+metadata,0.8063,0.4375,0.4286,0.0,0.0,very hard
phase2_llm_benchmark_grok_synthetic_03_repaired,heldout_repaired_grok,grok,scn_coordinated_multi_asset_pv60_bess48_curtail,coordinated_campaign,critical,accepted,False,True,1,13.0,0.047164137267243576,0.8,0.7542,1.0,39.94,replay+metadata,0.2458,0.8125,0.8988,0.0,0.0,very hard
phase2_llm_benchmark_grok_synthetic_03_repaired,heldout_repaired_grok,grok,scn_der_disconnect_bess108_status_cmd,degradation,low,accepted,False,True,1,1.0,0.04763804264248496,0.0,0.1938,0.9231,39.24,replay+metadata,0.8063,0.4602,0.4286,0.0,0.0769,very hard
phase2_llm_benchmark_grok_synthetic_03_repaired,heldout_repaired_grok,grok,scn_false_data_injection_bess48_soc_stale,false_data_injection,critical,accepted,False,True,1,1.0,0.04763237498807215,1.0,0.8417,0.88,24.54,replay+metadata,0.1583,0.4943,0.4286,0.0,0.12,moderate
phase2_llm_benchmark_grok_synthetic_03_repaired,heldout_repaired_grok,grok,scn_false_data_injection_bus83_v_pu_bias,false_data_injection,low,accepted,False,True,1,1.0,0.04765240888192073,0.025,0.2458,0.88,34.04,replay+metadata,0.7542,0.2784,0.4286,0.0,0.12,hard
phase2_llm_benchmark_grok_synthetic_03_repaired,heldout_repaired_grok,grok,scn_false_data_injection_feeder_q_kvar_scale,false_data_injection,critical,accepted,False,True,0,,0.0028017599659354163,1.15,0.9104,0.88,63.76,replay+metadata,0.0896,0.9886,1.0,1.0,0.12,very hard
phase2_llm_benchmark_grok_synthetic_03_repaired,heldout_repaired_grok,grok,scn_oscillatory_control_capacitor_c83_state,unauthorized_command,critical,accepted,False,True,1,1.0,0.04761199067427367,1.0,0.8417,1.0,25.02,replay+metadata,0.1583,0.5852,0.4286,0.0,0.0,moderate
phase2_llm_benchmark_grok_synthetic_03_repaired,heldout_repaired_grok,grok,scn_oscillatory_control_pv35_curtailment_osc,unauthorized_command,high,accepted,False,True,1,1.0,0.04742574013466482,0.35,0.5771,1.0,35.33,replay+metadata,0.4229,0.733,0.4286,0.0,0.0,hard
